Comuna;Mes;Q
7;02/18;7
7;03/18;12
7;04/18;19
7;05/18;6
7;06/18;13
7;07/18;14
7;08/18;9
7;09/18;4
7;10/18;16
7;11/18;20
7;12/18;20
7;01/19;10
7;02/19;14
7;03/19;15
7;04/19;5
7;05/19;16
7;06/19;12
7;07/19;8
7;08/19;14
7;09/19;5
7;10/19;7
7;11/19;9
7;12/19;15
8;09/17;2
8;10/17;7
8;11/17;2
8;12/17;5
8;01/18;5
8;02/18;5
8;03/18;5
8;04/18;3
8;05/18;3
8;06/18;6
8;07/18;4
8;08/18;2
8;09/18;8
8;10/18;7
8;11/18;7
8;12/18;6
8;01/19;5
8;02/19;3
8;03/19;1
8;04/19;7
8;05/19;1
8;06/19;5
8;07/19;3
8;08/19;4
8;09/19;2
8;10/19;2
8;11/19;5
8;12/19;3
9;09/17;15
9;10/17;17
9;11/17;12
9;12/17;7
9;01/18;13
9;02/18;11
9;03/18;12
9;04/18;16
9;05/18;14
9;06/18;14
9;07/18;17
9;08/18;6
9;09/18;12
9;10/18;21
9;11/18;23
9;12/18;21
9;01/19;12
9;02/19;13
9;03/19;14
9;04/19;4
9;05/19;8
9;06/19;13
9;07/19;8
9;08/19;10
9;09/19;8
9;10/19;8
9;11/19;9
9;12/19;11
10;09/17;14
10;10/17;15
10;11/17;12
10;12/17;10
10;01/18;13
10;02/18;10
10;03/18;10
10;04/18;17
10;05/18;9
10;06/18;14
10;07/18;15
10;08/18;13
10;09/18;8
10;10/18;13
10;11/18;28
10;12/18;13
10;01/19;20
10;02/19;21
10;03/19;11
10;04/19;8
10;05/19;18
10;06/19;18
10;07/19;5
10;08/19;11
10;09/19;10
10;10/19;4
10;11/19;14
10;12/19;19
11;09/17;23
11;10/17;19
11;11/17;25
11;12/17;18
11;01/18;18
11;02/18;13
11;03/18;18
11;04/18;24
11;05/18;20
11;06/18;14
11;07/18;20
11;08/18;24
11;09/18;16
11;10/18;23
11;11/18;46
11;12/18;18
11;01/19;22
11;02/19;14
11;03/19;18
11;04/19;20
11;05/19;28
11;06/19;18
11;07/19;19
11;08/19;14
11;09/19;15
11;10/19;19
11;11/19;24
11;12/19;28
12;09/17;25
12;10/17;35
12;11/17;28
12;12/17;32
12;01/18;18
12;02/18;24
12;03/18;26
12;04/18;36
12;05/18;34
12;06/18;26
12;07/18;15
12;08/18;29
12;09/18;18
12;10/18;43
12;11/18;25
12;12/18;33
12;01/19;40
12;02/19;22
12;03/19;21
12;04/19;24
12;05/19;33
12;06/19;36
12;07/19;25
12;08/19;25
12;09/19;23
12;10/19;24
12;11/19;16
12;12/19;22
13;09/17;20
13;10/17;24
13;11/17;5
13;12/17;13
13;01/18;20
13;02/18;4
13;03/18;17
13;04/18;23
13;05/18;15
13;06/18;18
13;07/18;14
13;08/18;16
13;09/18;6
13;10/18;32
13;11/18;29
13;12/18;12
13;01/19;19
13;02/19;12
13;03/19;16
13;04/19;15
13;05/19;14
13;06/19;18
13;07/19;15
13;08/19;22
13;09/19;15
13;10/19;14
13;11/19;18
13;12/19;20
14;09/17;12
14;10/17;17
14;11/17;24
14;12/17;17
14;01/18;22
14;02/18;16
14;03/18;22
14;04/18;16
14;05/18;16
14;06/18;10
14;07/18;13
14;08/18;13
14;09/18;12
14;10/18;27
14;11/18;26
14;12/18;17
14;01/19;15
14;02/19;16
14;03/19;8
14;04/19;15
14;05/19;17
14;06/19;16
14;07/19;17
14;08/19;15
14;09/19;14
14;10/19;10
14;11/19;5
14;12/19;22
15;09/17;11
15;10/17;18
15;11/17;11
15;12/17;17
15;01/18;15
15;02/18;17
15;03/18;16
15;04/18;24
15;05/18;22
15;06/18;24
15;07/18;21
15;08/18;26
15;09/18;15
15;10/18;21
15;11/18;30
15;12/18;24
15;01/19;18
15;02/19;19
15;03/19;13
15;04/19;19
15;05/19;11
15;06/19;15
15;07/19;11
15;08/19;16
15;09/19;13
15;10/19;17
15;11/19;23
15;12/19;20
