Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
38;164;23;038-164-023;24259036/16;01-38-164-23;2017-10-23;33 ORIENTALES 1923;Comuna 5;1257;C1257ACS;Obra Menor;266.26;TREINTA Y TRES ORIENTALES 1923;-58.42082398;-34.63615316;TREINTA Y TRES ORIENTALES;1923;Boedo;5;
36;58;011f;036-058-011f;11441752/18;6-36-58-11f;2018-07-31;33 ORIENTALES 524;Comuna 5;1236;C1236ACD;Obra Media;933.07;TREINTA Y TRES ORIENTALES 524;-58.42421013;-34.61933053;TREINTA Y TRES ORIENTALES;524;Almagro;5;
36;53;12;036-053-012;24947518/17;6-36-053-012;2017-12-06;33 ORIENTALES 920;Comuna 5;1236;C1236ACL;Obra Menor;222.88;TREINTA Y TRES ORIENTALES 920;-58.42307441;-34.62522013;TREINTA Y TRES ORIENTALES;920;Boedo;5;
20;3;16ABC17;020-003-16ABC17;3306957/18;20-03-16ABC17/18;2018-11-29;9 DE JULIO;;;;Obra Media;572.12;9 DE JULIO AV.;;;9 DE JULIO AV.;;;;
20;3;18;020-003-18;3306957/18;20-03-16ABC17/18;2018-11-29;9 DE JULIO;;;;Obra Media;572.12;9 DE JULIO AV.;;;9 DE JULIO AV.;;;;
69;77;25;069-077-025;30348622/18;15-69-77-25;2019-01-28;A. BUFANO 2469;Comuna 11;1416;C1416AJY;Obra Menor;303.16;BUFANO, ALFREDO R. 2469;-58.4776731;-34.6046727;BUFANO, ALFREDO R.;2469;Villa Del Parque;11;
 ; ; ; - - ;14370866/17;;2018-01-25;A. FIGUEROA 1726;Comuna 14;1180;C1180ABH;Obra Media;738.7;ACUÑA DE FIGUEROA, FRANCISCO 1726;-58.42046956;-34.59119625;ACUÑA DE FIGUEROA, FRANCISCO;1726;Palermo;14;
69;8;16;069-008-016;32028479/18;15-69-008-016;2019-05-17;A. JONTE 3089;Comuna 11;1416;C1416EYC;Obra Media;711.49;ALVAREZ JONTE AV. 3089;-58.48626214;-34.60951188;ALVAREZ JONTE AV.;3089;Villa Del Parque;11;
91;56;14;091-056-014;26878055/18;15-91-056-14;2019-01-02;A. M. CERVANTES 5210;Comuna 10;1407;C1407MLN;Obra Menor;140.74;MAGARIÑOS CERVANTES, A. 5210;-58.50540443;-34.63082949;MAGARIÑOS CERVANTES, A.;5210;Villa Luro;10;
45;78;16;045-078-016;36694238/15;7-45-78-16;2019-05-17;A. MACHADO 615;Comuna 6;1405;C1405DIC;Obra Menor;168.75;MACHADO, ANTONIO 615;-58.44050328;-34.60644727;MACHADO, ANTONIO;615;Caballito;6;
37;21;4;037-021-004;13778658/18;17-37-21-4;2019-02-22;A. THOMAS 1244;Comuna 15;1427;C1427CCZ;Obra Media;2350.6;ALVAREZ THOMAS AV. 1244;-58.45905621;-34.5784543;ALVAREZ THOMAS AV.;1244;Chacarita;15;
83;132;3;083-132-003;8753311/18;15-83-132-3;2018-07-31;A.A.LOPEZ 3714/16;Comuna 11;1419;C1419EUH;Obra Media;530.6;LOPEZ, CARLOS ANTONIO 3714;-58.51381319;-34.59214988;LOPEZ, CARLOS ANTONIO;3714;Villa Devoto;11;
26;14;0;026-014-000;17581436/17;02-26-14-00;2017-10-03;A.ALCORTA 2602/36;Comuna 4;1437;C1437HTO;Obra Mayor;2874;ALCORTA, AMANCIO AV. 2602;-58.39920173;-34.64413854;ALCORTA, AMANCIO AV.;2602;Parque Patricios;4;
75;128;18;075-128-018;19552804/18;16-75-128-18;2018-08-22;A.ALVAREZ 5122;;;;Obra Menor;375.31;;;;;;;;
3;074C;0;003-074C-000;25219107/17;020-003-074C-000;2018-09-12;A.ARGENTINA 1475;Comuna 1;1104;C1104ACB;Obra Media;586.51;ANTARTIDA ARGENTINA AV. 1475;-58.37312087;-34.5827395;ANTARTIDA ARGENTINA AV.;1475;Retiro;1;
65;95;26;065-095-026;11021901/17;5-65-95-26;2017-09-13;A.BUFANO 1084;Comuna 7;1406;C1406AXH;Micro Obra;16.9;BUFANO, ALFREDO R. 1084;-58.46753111;-34.61824471;BUFANO, ALFREDO R.;1084;Flores;7;
65;98;016a;065-098-016a;16037614/16;5-65-98-16A;2017-12-04;A.BUFANO 1125/27;Comuna 7;1406;C1406AXI;Obra Media;857.3;BUFANO, ALFREDO R. 1125;-58.46770627;-34.61763028;BUFANO, ALFREDO R.;1125;Flores;7;
67;84;34;067-084-034;9051152/17;15-67-84-34;2018-11-28;A.BUFANO 1272/74;Comuna 11;1416;C1416AJB;Obra Media;873.92;BUFANO, ALFREDO R. 1272;-58.46856728;-34.61655425;BUFANO, ALFREDO R.;1272;Villa Gral. Mitre;11;
